,窗墙比 ,外窗传热系数 ,外墙传热系数 ,屋顶传热系数 ,采暖设置温度 ,制冷设置温度,能耗（MWh）,热舒适（绝对值）,加能耗碳排放(吨)
1,0.2 ,1.0 ,0.22 ,0.21 ,18 ,23 ,2723.9254 ,0.23 ,4618.2360454
2,0.2 ,1.5 ,0.32 ,0.25 ,19 ,24 ,2674.8894 ,0.26 ,4371.8092094
3,0.2 ,2.0 ,0.43 ,0.31 ,20 ,25 ,2634.1489 ,0.29 ,4204.6465689
4,0.2 ,2.6 ,0.55 ,0.35 ,21 ,26 ,2637.9035 ,0.32 ,4127.0250035
5,0.2 ,3.1 ,0.66 ,0.41 ,22 ,27 ,2654.0054 ,0.33 ,4089.2986254
6,0.2 ,3.5 ,0.77 ,0.48 ,23 ,28 ,2683.8915 ,0.33 ,4079.4045915
7,0.3 ,1.0 ,0.32 ,0.31 ,21 ,27 ,2547.8941 ,0.09 ,4251.0113741
8,0.3 ,1.5 ,0.22 ,0.35 ,20 ,28 ,2451.9040 ,0.12 ,4371.607304
9,0.3 ,2.0 ,0.55 ,0.21 ,19 ,23 ,2783.7902 ,0.38 ,4242.6580502
10,0.3 ,2.6 ,0.43 ,0.25 ,18 ,24 ,2656.7716 ,0.37 ,4213.8358516
11,0.3 ,3.1 ,0.77 ,0.21 ,20 ,26 ,2609.1151 ,0.37 ,4023.6638951
12,0.3 ,3.5 ,0.66 ,0.25 ,21 ,25 ,2710.9128 ,0.38 ,4132.0670528
13,0.4 ,1.0 ,0.43 ,0.35 ,19 ,25 ,2604.8661 ,0.20 ,4153.3607461
14,0.4 ,1.5 ,0.55 ,0.31 ,18 ,26 ,2524.5501 ,0.26 ,4014.6587301
15,0.4 ,2.0 ,0.22 ,0.25 ,22 ,26 ,2634.3653 ,0.14 ,4505.4494053
16,0.4 ,2.6 ,0.32 ,0.21 ,23 ,25 ,2768.1038 ,0.21 ,4420.9837438
17,0.4 ,3.1 ,0.22 ,0.48 ,21 ,24 ,2753.7673 ,0.34 ,4587.3549073
18,0.4 ,3.5 ,0.32 ,0.41 ,20 ,23 ,2812.8851 ,0.42 ,4440.4236651
19,0.5 ,1.0 ,0.55 ,0.25 ,20 ,27 ,2538.9168 ,0.12 ,4018.4795568
20,0.5 ,1.5 ,0.43 ,0.21 ,21 ,28 ,2522.1045 ,0.10 ,4084.6020045
21,0.5 ,2.0 ,0.32 ,0.35 ,18 ,24 ,2668.3240 ,0.30 ,4315.520724
22,0.5 ,2.6 ,0.22 ,0.31 ,19 ,23 ,2755.7868 ,0.34 ,4580.4332268
23,0.5 ,3.1 ,0.32 ,0.48 ,22 ,25 ,2737.4848 ,0.30 ,4362.9598248
24,0.5 ,3.5 ,0.22 ,0.41 ,23 ,26 ,2718.0337 ,0.24 ,4542.2349937
25,0.6 ,1.0 ,0.66 ,0.48 ,18 ,26 ,2541.3924 ,0.23 ,3956.3467124
26,0.6 ,1.5 ,0.77 ,0.41 ,19 ,25 ,2633.1909 ,0.30 ,4001.8353109
27,0.6 ,2.0 ,0.43 ,0.41 ,21 ,23 ,2871.4630 ,0.31 ,4338.535863
28,0.6 ,2.6 ,0.55 ,0.48 ,20 ,24 ,2754.8517 ,0.37 ,4169.4792117
29,0.6 ,3.1 ,0.43 ,0.25 ,23 ,23 ,2983.2014 ,0.32 ,4432.5912214
30,0.6 ,3.5 ,0.55 ,0.21 ,22 ,24 ,2849.6551 ,0.34 ,4256.4344351
31,0.7 ,1.0 ,0.77 ,0.31 ,22 ,24 ,2850.8084 ,0.19 ,4169.9454284
32,0.7 ,1.5 ,0.66 ,0.35 ,23 ,23 ,2995.0961 ,0.25 ,4313.0569761
33,0.7 ,2.0 ,0.55 ,0.41 ,18 ,28 ,2437.2044 ,0.24 ,3905.2019244
34,0.7 ,2.6 ,0.43 ,0.48 ,19 ,27 ,2511.7622 ,0.28 ,4035.5280222
35,0.7 ,3.1 ,0.55 ,0.31 ,23 ,25 ,2819.8709 ,0.28 ,4212.0817909
36,0.7 ,3.5 ,0.43 ,0.35 ,22 ,26 ,2701.6427 ,0.28 ,4188.0163027
37,0.6 ,2.0 ,0.66 ,0.31 ,19 ,28 ,2470.5507 ,0.24 ,3905.7979107
38,0.6 ,2.6 ,0.77 ,0.35 ,18 ,27 ,2490.2575 ,0.35 ,3889.7699575
39,0.7 ,2.0 ,0.77 ,0.25 ,21 ,27 ,2605.8727 ,0.22 ,3977.7923327
40,0.7 ,2.6 ,0.66 ,0.21 ,20 ,28 ,2513.5760 ,0.24 ,3937.864576
41,0.3 ,1.0 ,0.22 ,0.41 ,23 ,24 ,2828.6975 ,0.13 ,4670.9945975
42,0.3 ,1.5 ,0.32 ,0.48 ,22 ,23 ,2892.9093 ,0.27 ,4521.1731493
43,0.4 ,3.1 ,0.66 ,0.21 ,18 ,27 ,2477.5190 ,0.36 ,3938.532219
44,0.4 ,3.5 ,0.77 ,0.25 ,19 ,28 ,2476.8592 ,0.37 ,3902.4871192
45,0.5 ,3.1 ,0.77 ,0.35 ,19 ,23 ,2805.0846 ,0.48 ,4148.8097646
46,0.5 ,3.5 ,0.66 ,0.31 ,18 ,24 ,2691.4073 ,0.46 ,4090.0723473
47,0.6 ,2.0 ,0.22 ,0.48 ,23 ,27 ,2650.0884 ,0.11 ,4471.3380084
48,0.6 ,2.6 ,0.32 ,0.41 ,22 ,28 ,2575.9287 ,0.18 ,4224.0525887
49,0.7 ,1.0 ,0.32 ,0.21 ,19 ,26 ,2545.9867 ,0.06 ,4197.9643467
50,0.7 ,1.5 ,0.22 ,0.25 ,18 ,25 ,2559.0406 ,0.15 ,4390.4101206
51,0.2 ,1.0 ,0.43 ,0.41 ,20 ,28 ,2479.0364 ,0.15 ,4076.0916564
52,0.2 ,1.5 ,0.55 ,0.48 ,21 ,27 ,2580.8702 ,0.24 ,4077.0315302
53,0.2 ,3.1 ,0.22 ,0.31 ,19 ,28 ,2418.8519 ,0.26 ,4362.0496719
54,0.2 ,3.5 ,0.32 ,0.35 ,18 ,27 ,2450.3865 ,0.34 ,4182.8528865
